'Reference';'Qty';'Value';'DNP';'Exclude from BOM';'Exclude from Board';'Footprint';'Datasheet';'Number-JLCPCB'
'H1,H2,H5,H6';'4';'MountingHole';'';'Exclure de la Liste du Matériel';'';'MountingHole:MountingHole_2.7mm_M2.5';'~';''
'TP1,TP2,TP11';'3';'TestPoint';'';'Exclure de la Liste du Matériel';'';'TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm';'~';''
'RVAR1';'1';'3296W-1-502LF';'';'';'';'Custom-Vincent:3296W1503LF';'https://componentsearchengine.com/Datasheets/2/3296W-1-502LF.pdf';'C60620'
'C4';'1';'100n';'';'';'';'Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder';'~';'C77050'
'U2';'1';'LM311';'';'';'';'Package_DIP:DIP-8_W7.62mm';'https://www.st.com/resource/en/datasheet/lm311.pdf';'C434572'
'J4';'1';'Conn_01x01_Pin';'';'';'';'Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical';'~';'C492400'
'R2';'1';'47k';'';'';'';'Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder';'~';'C844929'
'R1';'1';'R_Photo';'';'';'';'Custom-Vincent:NSL19M51';'~';'C17518372'
'J8';'1';'Conn_01x02';'';'';'';'JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical';'~';'C32713268'
